sep=;
id;active;nPreds;nPreys;r;K;g;f;e;H;l;width;simTime;stabilTime;steps;lyapTime;lyapPert;reps;compPars;seed;results_folder;timeseries_folder
test_run;true;2;3;0.5;10;0.4;1e-5;0.6;2;0.2;0.05;100;20;200;100;1e-8;4;-0.6 0.05 0.2 0.2 0.6;1;io/results/;io/results/
2-3p;true;2;3;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
4-6p;true;4;6;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
6-9p;true;6;9;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
8-12p;true;8;12;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
10-15p;true;10;15;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
12-18p;true;12;18;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
14-21p;true;14;21;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
16-24p;true;16;24;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
18-27p;true;18;27;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
20-30p;true;20;30;0.5;10;0.4;1e-5;0.6;2;0.15;0.05;5000;2000;5000;100;1e-8;200;-0.8 0.05 0.2 0.2 0.9;1;io/results/;io/results/
